COUNTY,County Type,Regular Polling Place Ballots Cast (includes at Vote Centers),"Provisional Ballots Processed / Cast 
(Non-CVR)",Conditional (Provisional Ballots) Processed / Cast (CVR),"Conditional (Non-Provisiona ""Instant"") CVR Cast",TOTAL-Inperson,% OF REG Polling Place + Provisional + CVR ,
Alameda,VCA Like,,,21,,21,0.00%,
Alpine,All Mail,,,,,,,
Amador,VCA County,78,,,5,83,0.31%,
Butte,VCA County,2,,,1,3,0.00%,
Calaveras,VCA County,129,,,7,136,0.42%,
Colusa,,,,,,,,
Contra Costa,,235,,,,235,0.03%,
Del Norte,,,,,,,,
El Dorado,VCA County,335,,,10,345,0.25%,
Fresno,VCA County,1363,,17,68,1448,0.29%,
Glenn,,,,,2,2,0.01%,
Humboldt,,,,17,,17,0.02%,
Imperial,,,,,,,,
Inyo,,,,,,,,
Kern,,,,,,,,
Kings,VCA Like,2,,,,2,0.00%,
Lake,,,,,,,,
Lassen,VCA Like,,,,,,,
Los Angeles,VCA County,41742,53,535,,42316,0.75%,
Madera,VCA County,152,,10,5,167,0.24%,
Marin,,,,23,,23,0.01%,
Mariposa,VCA County,,,,,,,
Mendocino,,,,,,,,
Merced,VCA Like,,,,,,,
Modoc,,,,,,,,
Mono,,,,,,,,
Monterey,,,,,,,,
Napa,VCA County,158,,,,158,0.19%,
Nevada,VCA County,300,7,,,300,0.40%,
Orange,VCA County,13774,27,242,,14017,0.78%,
Placer,,,,,,,,
Plumas,All Mail ,,,,,,,
Riverside,,1115,,,,1115,0.09%,
Sacramento,VCA County,1206,,,,1206,0.14%,
San Benito,VCA Like,25,,,17,42,0.11%,
San Bernardino,,,21,,,,,
San Diego,,,,,,,,
San Francisco,,,,72,,72,0.01%,
San Joaquin,,,,,,,,
San Luis Obispo,,,,,,,,
San Mateo,VCA County,2024,,,,2024,0.46%,
Santa Barbara,,,,,,,,
Santa Clara,VCA County,2255,,1,,2256,0.22%,
Santa Cruz,VCA Like,578,,,17,595,0.35%,
Shasta,,181,,13,,194,0.17%,
Sierra,All Mail ,,,2,,2,0.09%,
Siskiyou,,,,,,,,
Solano,,,3,19,,22,0.01%,
Sonoma,,,,24,,24,0.01%,
Stanislaus,VCA Like,74,,,,74,0.03%,
Sutter,VCA Like,,,,,,,
Tehama,,53,,,,53,0.14%,
Trinity,VCA Like,,,,,,,
Tulare,,130,,9,22,161,0.08%,
Tuolumne,VCA County,34,,8,,42,0.12%,
Ventura,VCA Like,296,,,12,308,0.06%,
Yolo,VCA Like,,,,,,,
Yuba,,,,,,,,
